vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vlow,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vlow,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,low,vhigh,vhigh,vlow,vhigh,vhigh,high,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,vhigh,Categoria
vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,Arte
vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,Arte
med,vlow,med,vlow,vlow,vlow,vlow,vlow,vlow,low,vlow,vlow,vlow,vlow,low,low,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,med,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,low,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,low,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,low,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,low,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,low,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,Arte
vlow,vlow,vlow,vlow,vlow,vlow,low,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,Arte
vlow,vlow,vlow,low,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,low,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,low,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,low,low,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,low,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,low,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,Arte
low,vlow,vlow,vlow,vlow,vlow,med,vlow,vlow,vlow,low,vlow,vlow,vlow,vlow,vlow,vlow,vlow,low,low,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,low,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,Arte
vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,low,vlow,vlow,vlow,low,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,Arte
vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,Arte
vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,Arte
vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,vlow,Arte
